Código Municipio;Municipio ;Código Departamento;Departamento;Actividades primarias *;Actividades secundarias **;Actividades terciarias ***;"Valor agregado
";Peso relativo municipal en el valor agregado departamental (%)
05138;CAÑASGORDAS;05;Antioquia;83.46971184;18.43723138;204.219932;306.1268752; 0.1 
05142;CARACOLI;05;Antioquia;16.3215036;4.100431932;63.4132605;83.83519603; 0.0 
05145;CARAMANTA;05;Antioquia;38.43437319;5.058890373;62.15692734;105.6501909; 0.1 
05147;CAREPA;05;Antioquia;973.4862215;79.42598178;681.0118531;1733.924056; 0.8 
05148;EL CARMEN DE VIBORAL;05;Antioquia;224.0980561;65.09402227;918.915257;1208.107335; 0.6 
05150;CAROLINA;05;Antioquia;28.84990672;4.331400337;56.84482956;90.02613662; 0.0 
05154;CAUCASIA;05;Antioquia;1559.444038;71.85111931;1301.135334;2932.430491; 1.4 
05172;CHIGORODO;05;Antioquia;842.2872255;80.94051477;845.6018352;1768.829576; 0.8 
05190;CISNEROS;05;Antioquia;16.25532308;9.362324653;173.0609426;198.6785904; 0.1 
05197;COCORNA;05;Antioquia;40.84670534;12.00833567;181.8064616;234.6615026; 0.1 
05206;CONCEPCION;05;Antioquia;34.6587501;4.530621975;53.90000933;93.0893814; 0.0 
05209;CONCORDIA;05;Antioquia;321.8856692;27.68904322;244.9963685;594.571081; 0.3 
05212;COPACABANA;05;Antioquia;27.25673341;954.6142806;1201.166725;2183.037739; 1.0 
05234;DABEIBA;05;Antioquia;183.8325779;19.24985606;271.3498152;474.4322491; 0.2 
05237;DONMATIAS;05;Antioquia;328.2732379;47.74046089;348.2200509;724.2337498; 0.3 
05240;EBEJICO;05;Antioquia;243.8546211;18.51557112;140.7194458;403.089638; 0.2 
05250;EL BAGRE;05;Antioquia;707.2236741;36.01681191;643.6421288;1386.882615; 0.7 
05264;ENTRERRIOS;05;Antioquia;206.4614214;250.3625017;198.5697497;655.3936728; 0.3 
05266;ENVIGADO;05;Antioquia;28.86470957;2839.277489;9198.518605;12066.6608; 5.8 
05282;FREDONIA;05;Antioquia;315.0853688;32.59212185;300.9858802;648.6633708; 0.3 
05284;FRONTINO;05;Antioquia;76.03972027;15.33147515;232.2729411;323.6441365; 0.2 
05306;GIRALDO;05;Antioquia;10.20652786;3.290298008;65.30716521;78.80399108; 0.0 
05308;GIRARDOTA;05;Antioquia;172.3694779;2241.261691;1214.87341;3628.504579; 1.7 
05310;GOMEZ PLATA;05;Antioquia;63.76572204;23.66542645;452.0326495;539.4637979; 0.3 
05313;GRANADA;05;Antioquia;30.04521122;7.106997414;102.8099163;139.9621249; 0.1 
05315;GUADALUPE;05;Antioquia;15.78161626;4.927323866;76.61013101;97.31907113; 0.0 
05318;GUARNE;05;Antioquia;111.6070068;1009.76054;939.006878;2060.374425; 1.0 
05321;GUATAPE;05;Antioquia;9.497560418;30.49684214;662.4659292;702.4603317; 0.3 
05347;HELICONIA;05;Antioquia;26.68291052;4.623041047;61.25382482;92.55977639; 0.0 
05353;HISPANIA;05;Antioquia;48.62889389;5.828664908;67.35507554;121.8126343; 0.1 
05360;ITAGUI;05;Antioquia;2.707280967;4354.375769;7262.024479;11619.10753; 5.5 
05361;ITUANGO;05;Antioquia;80.39492719;19.53665868;281.361714;381.2932999; 0.2 
05364;JARDIN;05;Antioquia;144.3888902;18.64877745;235.5367459;398.5744135; 0.2 
05368;JERICO;05;Antioquia;248.9436033;20.72702908;180.8891284;450.5597608; 0.2 
05376;LA CEJA;05;Antioquia;138.754852;134.6820852;1141.715334;1415.152271; 0.7 
05380;LA ESTRELLA;05;Antioquia;14.34851027;1399.863637;1782.106129;3196.318277; 1.5 
05390;LA PINTADA;05;Antioquia;41.23828652;55.60822718;156.6669897;253.5135034; 0.1 
05400;LA UNION;05;Antioquia;132.244374;48.35996426;338.0413855;518.6457237; 0.2 
05411;LIBORINA;05;Antioquia;49.27613597;8.495088552;113.8659405;171.637165; 0.1 
05425;MACEO;05;Antioquia;67.38122063;8.427014439;110.1467863;185.9550214; 0.1 
05440;MARINILLA;05;Antioquia;452.8695024;722.7463379;981.2817604;2156.897601; 1.0 
